pageId,pageSlug,nodeId,nodeName,property,currentValue,suggestedToken,group,status,reason
2452:6039,component-avatar,2452:7953,Variant,paddingLeft,6,AppSpacingSemantic.insetSquishXsHorizontal,component-avatar,READY,inset-squish Xs (V2/H6)
2452:6039,component-avatar,2411:27769,Avatar/Person,paddingTop,20,AppSpacing.s20,component-avatar,READY,4-side equal 20px (no semantic inset match)
2452:6039,component-avatar,2411:27769,Avatar/Person,paddingRight,20,AppSpacing.s20,component-avatar,READY,4-side equal 20px (no semantic inset match)
2452:6039,component-avatar,2411:27769,Avatar/Person,paddingBottom,20,AppSpacing.s20,component-avatar,READY,4-side equal 20px (no semantic inset match)
2452:6039,component-avatar,2411:27769,Avatar/Person,paddingLeft,20,AppSpacing.s20,component-avatar,READY,4-side equal 20px (no semantic inset match)
2452:6039,component-avatar,2411:27824,Avatar/_Resource/Placeholder/Person,paddingTop,20,AppSpacing.s20,component-avatar,READY,4-side equal 20px (no semantic inset match)
2452:6039,component-avatar,2411:27824,Avatar/_Resource/Placeholder/Person,paddingRight,20,AppSpacing.s20,component-avatar,READY,4-side equal 20px (no semantic inset match)
2452:6039,component-avatar,2411:27824,Avatar/_Resource/Placeholder/Person,paddingBottom,20,AppSpacing.s20,component-avatar,READY,4-side equal 20px (no semantic inset match)
2452:6039,component-avatar,2411:27824,Avatar/_Resource/Placeholder/Person,paddingLeft,20,AppSpacing.s20,component-avatar,READY,4-side equal 20px (no semantic inset match)
2452:6039,component-avatar,2411:27846,Avatar/_Resource/Image/Person,paddingTop,20,AppSpacing.s20,component-avatar,READY,4-side equal 20px (no semantic inset match)
2452:6039,component-avatar,2411:27846,Avatar/_Resource/Image/Person,paddingRight,20,AppSpacing.s20,component-avatar,READY,4-side equal 20px (no semantic inset match)
2452:6039,component-avatar,2411:27846,Avatar/_Resource/Image/Person,paddingBottom,20,AppSpacing.s20,component-avatar,READY,4-side equal 20px (no semantic inset match)
2452:6039,component-avatar,2411:27846,Avatar/_Resource/Image/Person,paddingLeft,20,AppSpacing.s20,component-avatar,READY,4-side equal 20px (no semantic inset match)
2452:6039,component-avatar,2452:7961,Component,paddingTop,64,,component-avatar,NEEDS_REVIEW,페이지 카탈로그 grid 의심
2452:6039,component-avatar,2452:7961,Component,paddingRight,64,,component-avatar,NEEDS_REVIEW,페이지 카탈로그 grid 의심
2452:6039,component-avatar,2452:7961,Component,paddingBottom,64,,component-avatar,NEEDS_REVIEW,페이지 카탈로그 grid 의심
2452:6039,component-avatar,2452:7961,Component,paddingLeft,64,,component-avatar,NEEDS_REVIEW,페이지 카탈로그 grid 의심
2452:6039,component-avatar,2452:7967,Case,paddingTop,24,AppSpacingSemantic.insetXl,component-avatar,READY,inset (4-side equal 24px)
2452:6039,component-avatar,2452:7967,Case,paddingRight,24,AppSpacingSemantic.insetXl,component-avatar,READY,inset (4-side equal 24px)
2452:6039,component-avatar,2452:7967,Case,paddingBottom,24,AppSpacingSemantic.insetXl,component-avatar,READY,inset (4-side equal 24px)
2452:6039,component-avatar,2452:7967,Case,paddingLeft,24,AppSpacingSemantic.insetXl,component-avatar,READY,inset (4-side equal 24px)
2452:6039,component-avatar,2452:7971,Variant,paddingTop,2,AppSpacingSemantic.insetSquishXsVertical,component-avatar,READY,inset-squish Xs (V2/H6)
2452:6039,component-avatar,2452:7971,Variant,paddingRight,6,AppSpacingSemantic.insetSquishXsHorizontal,component-avatar,READY,inset-squish Xs (V2/H6)
2452:6039,component-avatar,2452:7971,Variant,paddingBottom,2,AppSpacingSemantic.insetSquishXsVertical,component-avatar,READY,inset-squish Xs (V2/H6)
2452:6039,component-avatar,2452:7971,Variant,paddingLeft,6,AppSpacingSemantic.insetSquishXsHorizontal,component-avatar,READY,inset-squish Xs (V2/H6)
2452:6039,component-avatar,2452:7973,Variant,paddingTop,2,AppSpacingSemantic.insetSquishXsVertical,component-avatar,READY,inset-squish Xs (V2/H6)
2452:6039,component-avatar,2452:7973,Variant,paddingRight,6,AppSpacingSemantic.insetSquishXsHorizontal,component-avatar,READY,inset-squish Xs (V2/H6)
2452:6039,component-avatar,2452:7973,Variant,paddingBottom,2,AppSpacingSemantic.insetSquishXsVertical,component-avatar,READY,inset-squish Xs (V2/H6)
2452:6039,component-avatar,2452:7973,Variant,paddingLeft,6,AppSpacingSemantic.insetSquishXsHorizontal,component-avatar,READY,inset-squish Xs (V2/H6)
2452:6039,component-avatar,2452:7981,Variant,paddingTop,2,AppSpacingSemantic.insetSquishXsVertical,component-avatar,READY,inset-squish Xs (V2/H6)
2452:6039,component-avatar,2452:7981,Variant,paddingRight,6,AppSpacingSemantic.insetSquishXsHorizontal,component-avatar,READY,inset-squish Xs (V2/H6)
2452:6039,component-avatar,2452:7981,Variant,paddingBottom,2,AppSpacingSemantic.insetSquishXsVertical,component-avatar,READY,inset-squish Xs (V2/H6)
2452:6039,component-avatar,2452:7981,Variant,paddingLeft,6,AppSpacingSemantic.insetSquishXsHorizontal,component-avatar,READY,inset-squish Xs (V2/H6)
2452:6039,component-avatar,2452:7983,Variant,paddingTop,2,AppSpacingSemantic.insetSquishXsVertical,component-avatar,READY,inset-squish Xs (V2/H6)
2452:6039,component-avatar,2452:7983,Variant,paddingRight,6,AppSpacingSemantic.insetSquishXsHorizontal,component-avatar,READY,inset-squish Xs (V2/H6)
2452:6039,component-avatar,2452:7983,Variant,paddingBottom,2,AppSpacingSemantic.insetSquishXsVertical,component-avatar,READY,inset-squish Xs (V2/H6)
2452:6039,component-avatar,2452:7983,Variant,paddingLeft,6,AppSpacingSemantic.insetSquishXsHorizontal,component-avatar,READY,inset-squish Xs (V2/H6)
2452:6039,component-avatar,2452:7985,Variant,paddingTop,2,AppSpacingSemantic.insetSquishXsVertical,component-avatar,READY,inset-squish Xs (V2/H6)
2452:6039,component-avatar,2452:7985,Variant,paddingRight,6,AppSpacingSemantic.insetSquishXsHorizontal,component-avatar,READY,inset-squish Xs (V2/H6)
2452:6039,component-avatar,2452:7985,Variant,paddingBottom,2,AppSpacingSemantic.insetSquishXsVertical,component-avatar,READY,inset-squish Xs (V2/H6)
2452:6039,component-avatar,2452:7985,Variant,paddingLeft,6,AppSpacingSemantic.insetSquishXsHorizontal,component-avatar,READY,inset-squish Xs (V2/H6)
2452:6039,component-avatar,2452:7987,Variant,paddingTop,2,AppSpacingSemantic.insetSquishXsVertical,component-avatar,READY,inset-squish Xs (V2/H6)
2452:6039,component-avatar,2452:7987,Variant,paddingRight,6,AppSpacingSemantic.insetSquishXsHorizontal,component-avatar,READY,inset-squish Xs (V2/H6)
2452:6039,component-avatar,2452:7987,Variant,paddingBottom,2,AppSpacingSemantic.insetSquishXsVertical,component-avatar,READY,inset-squish Xs (V2/H6)
2452:6039,component-avatar,2452:7987,Variant,paddingLeft,6,AppSpacingSemantic.insetSquishXsHorizontal,component-avatar,READY,inset-squish Xs (V2/H6)
2452:6039,component-avatar,2452:7989,Variant,paddingTop,2,AppSpacingSemantic.insetSquishXsVertical,component-avatar,READY,inset-squish Xs (V2/H6)
2452:6039,component-avatar,2452:7989,Variant,paddingRight,6,AppSpacingSemantic.insetSquishXsHorizontal,component-avatar,READY,inset-squish Xs (V2/H6)
2452:6039,component-avatar,2452:7989,Variant,paddingBottom,2,AppSpacingSemantic.insetSquishXsVertical,component-avatar,READY,inset-squish Xs (V2/H6)
2452:6039,component-avatar,2452:7989,Variant,paddingLeft,6,AppSpacingSemantic.insetSquishXsHorizontal,component-avatar,READY,inset-squish Xs (V2/H6)
2452:6039,component-avatar,2411:27893,Avatar/Company,paddingTop,20,AppSpacing.s20,component-avatar,READY,4-side equal 20px (no semantic inset match)
2452:6039,component-avatar,2411:27893,Avatar/Company,paddingRight,20,AppSpacing.s20,component-avatar,READY,4-side equal 20px (no semantic inset match)
2452:6039,component-avatar,2411:27893,Avatar/Company,paddingBottom,20,AppSpacing.s20,component-avatar,READY,4-side equal 20px (no semantic inset match)
2452:6039,component-avatar,2411:27893,Avatar/Company,paddingLeft,20,AppSpacing.s20,component-avatar,READY,4-side equal 20px (no semantic inset match)
2452:6039,component-avatar,2411:27961,Avatar/_Resource/Image/Company,paddingTop,20,AppSpacing.s20,component-avatar,READY,4-side equal 20px (no semantic inset match)
2452:6039,component-avatar,2411:27961,Avatar/_Resource/Image/Company,paddingRight,20,AppSpacing.s20,component-avatar,READY,4-side equal 20px (no semantic inset match)
2452:6039,component-avatar,2411:27961,Avatar/_Resource/Image/Company,paddingBottom,20,AppSpacing.s20,component-avatar,READY,4-side equal 20px (no semantic inset match)
2452:6039,component-avatar,2411:27961,Avatar/_Resource/Image/Company,paddingLeft,20,AppSpacing.s20,component-avatar,READY,4-side equal 20px (no semantic inset match)
2452:6039,component-avatar,2452:7997,Component,paddingTop,64,,component-avatar,NEEDS_REVIEW,페이지 카탈로그 grid 의심
2452:6039,component-avatar,2452:7997,Component,paddingRight,64,,component-avatar,NEEDS_REVIEW,페이지 카탈로그 grid 의심
2452:6039,component-avatar,2452:7997,Component,paddingBottom,64,,component-avatar,NEEDS_REVIEW,페이지 카탈로그 grid 의심
2452:6039,component-avatar,2452:7997,Component,paddingLeft,64,,component-avatar,NEEDS_REVIEW,페이지 카탈로그 grid 의심
2452:6039,component-avatar,2452:8003,Case,paddingTop,24,AppSpacingSemantic.insetXl,component-avatar,READY,inset (4-side equal 24px)
2452:6039,component-avatar,2452:8003,Case,paddingRight,24,AppSpacingSemantic.insetXl,component-avatar,READY,inset (4-side equal 24px)
2452:6039,component-avatar,2452:8003,Case,paddingBottom,24,AppSpacingSemantic.insetXl,component-avatar,READY,inset (4-side equal 24px)
2452:6039,component-avatar,2452:8003,Case,paddingLeft,24,AppSpacingSemantic.insetXl,component-avatar,READY,inset (4-side equal 24px)
2452:6039,component-avatar,2452:8007,Variant,paddingTop,2,AppSpacingSemantic.insetSquishXsVertical,component-avatar,READY,inset-squish Xs (V2/H6)
2452:6039,component-avatar,2452:8007,Variant,paddingRight,6,AppSpacingSemantic.insetSquishXsHorizontal,component-avatar,READY,inset-squish Xs (V2/H6)
2452:6039,component-avatar,2452:8007,Variant,paddingBottom,2,AppSpacingSemantic.insetSquishXsVertical,component-avatar,READY,inset-squish Xs (V2/H6)
2452:6039,component-avatar,2452:8007,Variant,paddingLeft,6,AppSpacingSemantic.insetSquishXsHorizontal,component-avatar,READY,inset-squish Xs (V2/H6)
2452:6039,component-avatar,2452:8009,Variant,paddingTop,2,AppSpacingSemantic.insetSquishXsVertical,component-avatar,READY,inset-squish Xs (V2/H6)
2452:6039,component-avatar,2452:8009,Variant,paddingRight,6,AppSpacingSemantic.insetSquishXsHorizontal,component-avatar,READY,inset-squish Xs (V2/H6)
2452:6039,component-avatar,2452:8009,Variant,paddingBottom,2,AppSpacingSemantic.insetSquishXsVertical,component-avatar,READY,inset-squish Xs (V2/H6)
2452:6039,component-avatar,2452:8009,Variant,paddingLeft,6,AppSpacingSemantic.insetSquishXsHorizontal,component-avatar,READY,inset-squish Xs (V2/H6)
2452:6039,component-avatar,2452:8017,Variant,paddingTop,2,AppSpacingSemantic.insetSquishXsVertical,component-avatar,READY,inset-squish Xs (V2/H6)
2452:6039,component-avatar,2452:8017,Variant,paddingRight,6,AppSpacingSemantic.insetSquishXsHorizontal,component-avatar,READY,inset-squish Xs (V2/H6)
2452:6039,component-avatar,2452:8017,Variant,paddingBottom,2,AppSpacingSemantic.insetSquishXsVertical,component-avatar,READY,inset-squish Xs (V2/H6)
2452:6039,component-avatar,2452:8017,Variant,paddingLeft,6,AppSpacingSemantic.insetSquishXsHorizontal,component-avatar,READY,inset-squish Xs (V2/H6)
2452:6039,component-avatar,2452:8019,Variant,paddingTop,2,AppSpacingSemantic.insetSquishXsVertical,component-avatar,READY,inset-squish Xs (V2/H6)
2452:6039,component-avatar,2452:8019,Variant,paddingRight,6,AppSpacingSemantic.insetSquishXsHorizontal,component-avatar,READY,inset-squish Xs (V2/H6)
2452:6039,component-avatar,2452:8019,Variant,paddingBottom,2,AppSpacingSemantic.insetSquishXsVertical,component-avatar,READY,inset-squish Xs (V2/H6)
2452:6039,component-avatar,2452:8019,Variant,paddingLeft,6,AppSpacingSemantic.insetSquishXsHorizontal,component-avatar,READY,inset-squish Xs (V2/H6)
2452:6039,component-avatar,2452:8021,Variant,paddingTop,2,AppSpacingSemantic.insetSquishXsVertical,component-avatar,READY,inset-squish Xs (V2/H6)
2452:6039,component-avatar,2452:8021,Variant,paddingRight,6,AppSpacingSemantic.insetSquishXsHorizontal,component-avatar,READY,inset-squish Xs (V2/H6)
2452:6039,component-avatar,2452:8021,Variant,paddingBottom,2,AppSpacingSemantic.insetSquishXsVertical,component-avatar,READY,inset-squish Xs (V2/H6)
2452:6039,component-avatar,2452:8021,Variant,paddingLeft,6,AppSpacingSemantic.insetSquishXsHorizontal,component-avatar,READY,inset-squish Xs (V2/H6)
2452:6039,component-avatar,2452:8023,Variant,paddingTop,2,AppSpacingSemantic.insetSquishXsVertical,component-avatar,READY,inset-squish Xs (V2/H6)
2452:6039,component-avatar,2452:8023,Variant,paddingRight,6,AppSpacingSemantic.insetSquishXsHorizontal,component-avatar,READY,inset-squish Xs (V2/H6)
2452:6039,component-avatar,2452:8023,Variant,paddingBottom,2,AppSpacingSemantic.insetSquishXsVertical,component-avatar,READY,inset-squish Xs (V2/H6)
2452:6039,component-avatar,2452:8023,Variant,paddingLeft,6,AppSpacingSemantic.insetSquishXsHorizontal,component-avatar,READY,inset-squish Xs (V2/H6)
2452:6039,component-avatar,2452:8025,Variant,paddingTop,2,AppSpacingSemantic.insetSquishXsVertical,component-avatar,READY,inset-squish Xs (V2/H6)
2452:6039,component-avatar,2452:8025,Variant,paddingRight,6,AppSpacingSemantic.insetSquishXsHorizontal,component-avatar,READY,inset-squish Xs (V2/H6)
2452:6039,component-avatar,2452:8025,Variant,paddingBottom,2,AppSpacingSemantic.insetSquishXsVertical,component-avatar,READY,inset-squish Xs (V2/H6)
2452:6039,component-avatar,2452:8025,Variant,paddingLeft,6,AppSpacingSemantic.insetSquishXsHorizontal,component-avatar,READY,inset-squish Xs (V2/H6)
2452:6039,component-avatar,2411:28005,Avatar/Academic,paddingTop,20,AppSpacing.s20,component-avatar,READY,4-side equal 20px (no semantic inset match)
2452:6039,component-avatar,2411:28005,Avatar/Academic,paddingRight,20,AppSpacing.s20,component-avatar,READY,4-side equal 20px (no semantic inset match)
2452:6039,component-avatar,2411:28005,Avatar/Academic,paddingBottom,20,AppSpacing.s20,component-avatar,READY,4-side equal 20px (no semantic inset match)
2452:6039,component-avatar,2411:28005,Avatar/Academic,paddingLeft,20,AppSpacing.s20,component-avatar,READY,4-side equal 20px (no semantic inset match)
2452:6039,component-avatar,2411:28073,Avatar/_Resource/Image/Academic,paddingTop,20,AppSpacing.s20,component-avatar,READY,4-side equal 20px (no semantic inset match)
2452:6039,component-avatar,2411:28073,Avatar/_Resource/Image/Academic,paddingRight,20,AppSpacing.s20,component-avatar,READY,4-side equal 20px (no semantic inset match)
2452:6039,component-avatar,2411:28073,Avatar/_Resource/Image/Academic,paddingBottom,20,AppSpacing.s20,component-avatar,READY,4-side equal 20px (no semantic inset match)
2452:6039,component-avatar,2411:28073,Avatar/_Resource/Image/Academic,paddingLeft,20,AppSpacing.s20,component-avatar,READY,4-side equal 20px (no semantic inset match)
2452:6039,component-avatar,2452:8033,Component,paddingTop,64,,component-avatar,NEEDS_REVIEW,페이지 카탈로그 grid 의심
2452:6039,component-avatar,2452:8033,Component,paddingRight,64,,component-avatar,NEEDS_REVIEW,페이지 카탈로그 grid 의심
2452:6039,component-avatar,2452:8033,Component,paddingBottom,64,,component-avatar,NEEDS_REVIEW,페이지 카탈로그 grid 의심
2452:6039,component-avatar,2452:8033,Component,paddingLeft,64,,component-avatar,NEEDS_REVIEW,페이지 카탈로그 grid 의심
2452:6039,component-avatar,2452:8039,Case,paddingTop,24,AppSpacingSemantic.insetXl,component-avatar,READY,inset (4-side equal 24px)
2452:6039,component-avatar,2452:8039,Case,paddingRight,24,AppSpacingSemantic.insetXl,component-avatar,READY,inset (4-side equal 24px)
2452:6039,component-avatar,2452:8039,Case,paddingBottom,24,AppSpacingSemantic.insetXl,component-avatar,READY,inset (4-side equal 24px)
2452:6039,component-avatar,2452:8039,Case,paddingLeft,24,AppSpacingSemantic.insetXl,component-avatar,READY,inset (4-side equal 24px)
2452:6039,component-avatar,2452:8043,Variant,paddingTop,2,AppSpacingSemantic.insetSquishXsVertical,component-avatar,READY,inset-squish Xs (V2/H6)
2452:6039,component-avatar,2452:8043,Variant,paddingRight,6,AppSpacingSemantic.insetSquishXsHorizontal,component-avatar,READY,inset-squish Xs (V2/H6)
2452:6039,component-avatar,2452:8043,Variant,paddingBottom,2,AppSpacingSemantic.insetSquishXsVertical,component-avatar,READY,inset-squish Xs (V2/H6)
2452:6039,component-avatar,2452:8043,Variant,paddingLeft,6,AppSpacingSemantic.insetSquishXsHorizontal,component-avatar,READY,inset-squish Xs (V2/H6)
2452:6039,component-avatar,2452:8045,Variant,paddingTop,2,AppSpacingSemantic.insetSquishXsVertical,component-avatar,READY,inset-squish Xs (V2/H6)
2452:6039,component-avatar,2452:8045,Variant,paddingRight,6,AppSpacingSemantic.insetSquishXsHorizontal,component-avatar,READY,inset-squish Xs (V2/H6)
2452:6039,component-avatar,2452:8045,Variant,paddingBottom,2,AppSpacingSemantic.insetSquishXsVertical,component-avatar,READY,inset-squish Xs (V2/H6)
2452:6039,component-avatar,2452:8045,Variant,paddingLeft,6,AppSpacingSemantic.insetSquishXsHorizontal,component-avatar,READY,inset-squish Xs (V2/H6)
2452:6039,component-avatar,2452:8053,Variant,paddingTop,2,AppSpacingSemantic.insetSquishXsVertical,component-avatar,READY,inset-squish Xs (V2/H6)
2452:6039,component-avatar,2452:8053,Variant,paddingRight,6,AppSpacingSemantic.insetSquishXsHorizontal,component-avatar,READY,inset-squish Xs (V2/H6)
2452:6039,component-avatar,2452:8053,Variant,paddingBottom,2,AppSpacingSemantic.insetSquishXsVertical,component-avatar,READY,inset-squish Xs (V2/H6)
2452:6039,component-avatar,2452:8053,Variant,paddingLeft,6,AppSpacingSemantic.insetSquishXsHorizontal,component-avatar,READY,inset-squish Xs (V2/H6)
2452:6039,component-avatar,2452:8055,Variant,paddingTop,2,AppSpacingSemantic.insetSquishXsVertical,component-avatar,READY,inset-squish Xs (V2/H6)
2452:6039,component-avatar,2452:8055,Variant,paddingRight,6,AppSpacingSemantic.insetSquishXsHorizontal,component-avatar,READY,inset-squish Xs (V2/H6)
2452:6039,component-avatar,2452:8055,Variant,paddingBottom,2,AppSpacingSemantic.insetSquishXsVertical,component-avatar,READY,inset-squish Xs (V2/H6)
2452:6039,component-avatar,2452:8055,Variant,paddingLeft,6,AppSpacingSemantic.insetSquishXsHorizontal,component-avatar,READY,inset-squish Xs (V2/H6)
2452:6039,component-avatar,2452:8057,Variant,paddingTop,2,AppSpacingSemantic.insetSquishXsVertical,component-avatar,READY,inset-squish Xs (V2/H6)
2452:6039,component-avatar,2452:8057,Variant,paddingRight,6,AppSpacingSemantic.insetSquishXsHorizontal,component-avatar,READY,inset-squish Xs (V2/H6)
2452:6039,component-avatar,2452:8057,Variant,paddingBottom,2,AppSpacingSemantic.insetSquishXsVertical,component-avatar,READY,inset-squish Xs (V2/H6)
2452:6039,component-avatar,2452:8057,Variant,paddingLeft,6,AppSpacingSemantic.insetSquishXsHorizontal,component-avatar,READY,inset-squish Xs (V2/H6)
2452:6039,component-avatar,2452:8059,Variant,paddingTop,2,AppSpacingSemantic.insetSquishXsVertical,component-avatar,READY,inset-squish Xs (V2/H6)
2452:6039,component-avatar,2452:8059,Variant,paddingRight,6,AppSpacingSemantic.insetSquishXsHorizontal,component-avatar,READY,inset-squish Xs (V2/H6)
2452:6039,component-avatar,2452:8059,Variant,paddingBottom,2,AppSpacingSemantic.insetSquishXsVertical,component-avatar,READY,inset-squish Xs (V2/H6)
2452:6039,component-avatar,2452:8059,Variant,paddingLeft,6,AppSpacingSemantic.insetSquishXsHorizontal,component-avatar,READY,inset-squish Xs (V2/H6)
2452:6039,component-avatar,2452:8061,Variant,paddingTop,2,AppSpacingSemantic.insetSquishXsVertical,component-avatar,READY,inset-squish Xs (V2/H6)
2452:6039,component-avatar,2452:8061,Variant,paddingRight,6,AppSpacingSemantic.insetSquishXsHorizontal,component-avatar,READY,inset-squish Xs (V2/H6)
2452:6039,component-avatar,2452:8061,Variant,paddingBottom,2,AppSpacingSemantic.insetSquishXsVertical,component-avatar,READY,inset-squish Xs (V2/H6)
2452:6039,component-avatar,2452:8061,Variant,paddingLeft,6,AppSpacingSemantic.insetSquishXsHorizontal,component-avatar,READY,inset-squish Xs (V2/H6)
2452:6039,component-avatar,2452:8072,Variant,paddingTop,2,AppSpacingSemantic.insetSquishXsVertical,component-avatar,READY,inset-squish Xs (V2/H6)
2452:6039,component-avatar,2452:8072,Variant,paddingRight,6,AppSpacingSemantic.insetSquishXsHorizontal,component-avatar,READY,inset-squish Xs (V2/H6)
2452:6039,component-avatar,2452:8072,Variant,paddingBottom,2,AppSpacingSemantic.insetSquishXsVertical,component-avatar,READY,inset-squish Xs (V2/H6)
