file,line,dir,kind,currentValue,suggestedToken,status,reason
lib/components/buttons/app_section_bottom_button.dart,112,buttons,SizedBox,10,AppSpacing.s10,READY,SizedBox(width=)→inline palette direct (no semantic match for 10px)
lib/components/buttons/app_section_bottom_button.dart,121,buttons,SizedBox,10,AppSpacing.s10,READY,SizedBox(width=)→inline palette direct (no semantic match for 10px)
lib/components/buttons/app_section_bottom_button.dart,100,buttons,AppSpacingRef,space24,AppSpacing.s24,READY,기존 tokenRef → palette s24
lib/components/buttons/app_section_bottom_button.dart,100,buttons,AppSpacingRef,space4,AppSpacing.s4,READY,기존 tokenRef → palette s4
lib/components/buttons/app_section_bottom_button.dart,157,buttons,AppSpacingRef,space4,AppSpacing.s4,READY,기존 tokenRef → palette s4
lib/components/buttons/app_social_button.dart,78,buttons,SizedBox,width ?? double.infinity,,BLOCKED,non-numeric SizedBox dimension
lib/components/buttons/app_social_button.dart,78,buttons,SizedBox,height,,BLOCKED,non-numeric SizedBox dimension
lib/components/buttons/app_social_button.dart,102,buttons,AppSpacingRef,space8,AppSpacing.s8,READY,기존 tokenRef → palette s8
lib/components/buttons/app_solid_button.dart,151,buttons,SizedBox,_gap,,BLOCKED,non-numeric SizedBox dimension
lib/components/buttons/app_solid_button.dart,155,buttons,SizedBox,_gap,,BLOCKED,non-numeric SizedBox dimension
lib/components/buttons/app_solid_button.dart,182,buttons,SizedBox,width,,BLOCKED,non-numeric SizedBox dimension
lib/components/buttons/app_solid_button.dart,182,buttons,SizedBox,_height,,BLOCKED,non-numeric SizedBox dimension
lib/components/buttons/app_text_button.dart,43,buttons,EdgeInsets.symmetric,space4,AppSpacing.s4,READY,EdgeInsets.symmetric(vertical=tokenRef) → palette s4
lib/components/buttons/app_text_button.dart,43,buttons,EdgeInsets.symmetric,V=4,AppSpacing.s4,READY,symmetric vertical only
lib/components/buttons/app_text_button.dart,82,buttons,SizedBox,_gap,,BLOCKED,non-numeric SizedBox dimension
lib/components/buttons/app_text_button.dart,86,buttons,SizedBox,_gap,,BLOCKED,non-numeric SizedBox dimension
lib/components/buttons/app_text_button.dart,43,buttons,AppSpacingRef,space4,AppSpacing.s4,READY,기존 tokenRef → palette s4
lib/components/buttons/button_use_cases.dart,468,buttons,EdgeInsets.all,24,,BLOCKED,Demo 화면 (_use_cases.dart)
lib/components/buttons/button_use_cases.dart,490,buttons,EdgeInsets.all,24,,BLOCKED,Demo 화면 (_use_cases.dart)
lib/components/buttons/button_use_cases.dart,97,buttons,SizedBox,AppSpacing.space12,,BLOCKED,Demo 화면 (_use_cases.dart)
lib/components/buttons/button_use_cases.dart,201,buttons,SizedBox,AppSpacing.space8,,BLOCKED,Demo 화면 (_use_cases.dart)
lib/components/buttons/button_use_cases.dart,209,buttons,SizedBox,AppSpacing.space24,,BLOCKED,Demo 화면 (_use_cases.dart)
lib/components/buttons/button_use_cases.dart,211,buttons,SizedBox,AppSpacing.space8,,BLOCKED,Demo 화면 (_use_cases.dart)
lib/components/buttons/button_use_cases.dart,289,buttons,SizedBox,4,,BLOCKED,Demo 화면 (_use_cases.dart)
lib/components/buttons/button_use_cases.dart,25,buttons,PropLiteral:spacing,12,,BLOCKED,Demo 화면 (_use_cases.dart)
lib/components/buttons/button_use_cases.dart,26,buttons,PropLiteral:runSpacing,12,,BLOCKED,Demo 화면 (_use_cases.dart)
lib/components/buttons/button_use_cases.dart,39,buttons,PropLiteral:spacing,12,,BLOCKED,Demo 화면 (_use_cases.dart)
lib/components/buttons/button_use_cases.dart,40,buttons,PropLiteral:runSpacing,12,,BLOCKED,Demo 화면 (_use_cases.dart)
lib/components/buttons/button_use_cases.dart,56,buttons,PropLiteral:spacing,12,,BLOCKED,Demo 화면 (_use_cases.dart)
lib/components/buttons/button_use_cases.dart,57,buttons,PropLiteral:runSpacing,12,,BLOCKED,Demo 화면 (_use_cases.dart)
lib/components/buttons/button_use_cases.dart,75,buttons,PropLiteral:spacing,12,,BLOCKED,Demo 화면 (_use_cases.dart)
lib/components/buttons/button_use_cases.dart,76,buttons,PropLiteral:runSpacing,12,,BLOCKED,Demo 화면 (_use_cases.dart)
lib/components/buttons/button_use_cases.dart,124,buttons,PropLiteral:spacing,12,,BLOCKED,Demo 화면 (_use_cases.dart)
lib/components/buttons/button_use_cases.dart,125,buttons,PropLiteral:runSpacing,12,,BLOCKED,Demo 화면 (_use_cases.dart)
lib/components/buttons/button_use_cases.dart,138,buttons,PropLiteral:spacing,12,,BLOCKED,Demo 화면 (_use_cases.dart)
lib/components/buttons/button_use_cases.dart,139,buttons,PropLiteral:runSpacing,12,,BLOCKED,Demo 화면 (_use_cases.dart)
lib/components/buttons/button_use_cases.dart,153,buttons,PropLiteral:spacing,12,,BLOCKED,Demo 화면 (_use_cases.dart)
lib/components/buttons/button_use_cases.dart,154,buttons,PropLiteral:runSpacing,12,,BLOCKED,Demo 화면 (_use_cases.dart)
lib/components/buttons/button_use_cases.dart,171,buttons,PropLiteral:spacing,12,,BLOCKED,Demo 화면 (_use_cases.dart)
lib/components/buttons/button_use_cases.dart,203,buttons,PropLiteral:spacing,16,,BLOCKED,Demo 화면 (_use_cases.dart)
lib/components/buttons/button_use_cases.dart,213,buttons,PropLiteral:spacing,16,,BLOCKED,Demo 화면 (_use_cases.dart)
lib/components/buttons/button_use_cases.dart,232,buttons,PropLiteral:spacing,16,,BLOCKED,Demo 화면 (_use_cases.dart)
lib/components/buttons/button_use_cases.dart,233,buttons,PropLiteral:runSpacing,8,,BLOCKED,Demo 화면 (_use_cases.dart)
lib/components/buttons/button_use_cases.dart,272,buttons,PropLiteral:spacing,12,,BLOCKED,Demo 화면 (_use_cases.dart)
lib/components/buttons/button_use_cases.dart,273,buttons,PropLiteral:runSpacing,12,,BLOCKED,Demo 화면 (_use_cases.dart)
lib/components/buttons/button_use_cases.dart,306,buttons,PropLiteral:spacing,12,,BLOCKED,Demo 화면 (_use_cases.dart)
lib/components/buttons/button_use_cases.dart,336,buttons,PropLiteral:spacing,24,,BLOCKED,Demo 화면 (_use_cases.dart)
lib/components/buttons/button_use_cases.dart,372,buttons,PropLiteral:spacing,24,,BLOCKED,Demo 화면 (_use_cases.dart)
lib/components/buttons/button_use_cases.dart,97,buttons,AppSpacingRef,AppSpacing.space12,,BLOCKED,Demo 화면 (_use_cases.dart)
lib/components/buttons/button_use_cases.dart,201,buttons,AppSpacingRef,AppSpacing.space8,,BLOCKED,Demo 화면 (_use_cases.dart)
lib/components/buttons/button_use_cases.dart,209,buttons,AppSpacingRef,AppSpacing.space24,,BLOCKED,Demo 화면 (_use_cases.dart)
lib/components/buttons/button_use_cases.dart,211,buttons,AppSpacingRef,AppSpacing.space8,,BLOCKED,Demo 화면 (_use_cases.dart)
lib/components/cards/app_card.dart,37,cards,EdgeInsets.all,space16,AppSpacingSemantic.insetLg,READY,EdgeInsets.all(tokenRef) → inset
lib/components/cards/app_card.dart,58,cards,EdgeInsets.symmetric,space16,AppSpacing.s16,READY,EdgeInsets.symmetric(horizontal=tokenRef) → palette s16
lib/components/cards/app_card.dart,58,cards,EdgeInsets.symmetric,H=16,AppSpacing.s16,READY,symmetric horizontal only
lib/components/cards/app_card.dart,122,cards,SizedBox,width,,BLOCKED,non-numeric SizedBox dimension
lib/components/cards/app_card.dart,163,cards,SizedBox,2,AppSpacingSemantic.inlineXs,READY,SizedBox(height=)→stack value-based stack/inline (canonical)
lib/components/cards/app_card.dart,37,cards,AppSpacingRef,space16,AppSpacing.s16,READY,기존 tokenRef → palette s16
lib/components/cards/app_card.dart,59,cards,AppSpacingRef,space16,AppSpacing.s16,READY,기존 tokenRef → palette s16
lib/components/cards/app_card.dart,60,cards,AppSpacingRef,space12,AppSpacing.s12,READY,기존 tokenRef → palette s12
lib/components/cards/app_card.dart,147,cards,AppSpacingRef,space12,AppSpacing.s12,READY,기존 tokenRef → palette s12
lib/components/cards/app_card.dart,177,cards,AppSpacingRef,space12,AppSpacing.s12,READY,기존 tokenRef → palette s12
lib/components/cards/card_use_cases.dart,45,cards,EdgeInsets.all,24,,BLOCKED,Demo 화면 (_use_cases.dart)
lib/components/cards/card_use_cases.dart,82,cards,EdgeInsets.all,24,,BLOCKED,Demo 화면 (_use_cases.dart)
lib/components/cards/card_use_cases.dart,34,cards,SizedBox,AppSpacing.space8,,BLOCKED,Demo 화면 (_use_cases.dart)
lib/components/cards/card_use_cases.dart,53,cards,SizedBox,AppSpacing.space16,,BLOCKED,Demo 화면 (_use_cases.dart)
lib/components/cards/card_use_cases.dart,59,cards,SizedBox,AppSpacing.space16,,BLOCKED,Demo 화면 (_use_cases.dart)
lib/components/cards/card_use_cases.dart,90,cards,SizedBox,AppSpacing.space12,,BLOCKED,Demo 화면 (_use_cases.dart)
lib/components/cards/card_use_cases.dart,98,cards,SizedBox,AppSpacing.space4,,BLOCKED,Demo 화면 (_use_cases.dart)
lib/components/cards/card_use_cases.dart,34,cards,AppSpacingRef,AppSpacing.space8,,BLOCKED,Demo 화면 (_use_cases.dart)
lib/components/cards/card_use_cases.dart,53,cards,AppSpacingRef,AppSpacing.space16,,BLOCKED,Demo 화면 (_use_cases.dart)
lib/components/cards/card_use_cases.dart,59,cards,AppSpacingRef,AppSpacing.space16,,BLOCKED,Demo 화면 (_use_cases.dart)
lib/components/cards/card_use_cases.dart,90,cards,AppSpacingRef,AppSpacing.space12,,BLOCKED,Demo 화면 (_use_cases.dart)
lib/components/cards/card_use_cases.dart,98,cards,AppSpacingRef,AppSpacing.space4,,BLOCKED,Demo 화면 (_use_cases.dart)
lib/components/chips/app_chip.dart,129,chips,EdgeInsets.symmetric,space8,AppSpacing.s8,READY,EdgeInsets.symmetric(horizontal=tokenRef) → palette s8
lib/components/chips/app_chip.dart,129,chips,EdgeInsets.symmetric,space4,AppSpacing.s4,READY,EdgeInsets.symmetric(vertical=tokenRef) → palette s4
lib/components/chips/app_chip.dart,129,chips,EdgeInsets.symmetric,"H=8,V=4",AppSpacing.s4 + AppSpacing.s8,NEEDS_REVIEW,비표준 squish 페어 V4/H8 (Outlined 1px 보정 의심 가능)
lib/components/chips/app_chip.dart,131,chips,EdgeInsets.symmetric,space12,AppSpacing.s12,READY,EdgeInsets.symmetric(horizontal=tokenRef) → palette s12
lib/components/chips/app_chip.dart,131,chips,EdgeInsets.symmetric,"H=12,V=6",AppSpacing.s6 + AppSpacing.s12,NEEDS_REVIEW,비표준 squish 페어 V6/H12 (Outlined 1px 보정 의심 가능)
lib/components/chips/app_chip.dart,157,chips,EdgeInsets.all,space4,AppSpacingSemantic.insetXs,READY,EdgeInsets.all(tokenRef) → inset
lib/components/chips/app_chip.dart,130,chips,AppSpacingRef,space8,AppSpacing.s8,READY,기존 tokenRef → palette s8
lib/components/chips/app_chip.dart,130,chips,AppSpacingRef,space4,AppSpacing.s4,READY,기존 tokenRef → palette s4
lib/components/chips/app_chip.dart,132,chips,AppSpacingRef,space12,AppSpacing.s12,READY,기존 tokenRef → palette s12
lib/components/chips/app_chip.dart,142,chips,AppSpacingRef,space4,AppSpacing.s4,READY,기존 tokenRef → palette s4
lib/components/chips/app_chip.dart,146,chips,AppSpacingRef,space4,AppSpacing.s4,READY,기존 tokenRef → palette s4
lib/components/chips/app_chip.dart,157,chips,AppSpacingRef,space4,AppSpacing.s4,READY,기존 tokenRef → palette s4
lib/components/chips/app_chip_action.dart,179,chips,EdgeInsets.symmetric,m.wrapperPadH,,BLOCKED,non-numeric EdgeInsets.symmetric(horizontal)
lib/components/chips/app_chip_action.dart,193,chips,EdgeInsets.symmetric,m.padH,,BLOCKED,non-numeric EdgeInsets.symmetric(horizontal)
lib/components/chips/app_chip_action.dart,214,chips,EdgeInsets.all,tapBoost,,BLOCKED,non-numeric EdgeInsets.all
lib/components/chips/app_chip_action.dart,201,chips,SizedBox,m.gap,,BLOCKED,non-numeric SizedBox dimension
lib/components/chips/app_chip_action.dart,65,chips,PropLiteral:gap,2,AppSpacingSemantic.inlineXs,READY,PropLiteral:gap → value-based stack/inline (canonical)
lib/components/chips/app_chip_action.dart,75,chips,PropLiteral:gap,2,AppSpacingSemantic.inlineXs,READY,PropLiteral:gap → value-based stack/inline (canonical)
lib/components/chips/app_chip_action.dart,85,chips,PropLiteral:gap,3,AppSpacing.s3,READY,PropLiteral:gap → palette direct (no semantic match for 3px)
lib/components/chips/app_chip_action.dart,95,chips,PropLiteral:gap,3,AppSpacing.s3,READY,PropLiteral:gap → palette direct (no semantic match for 3px)
lib/components/chips/app_chip_filter.dart,199,chips,EdgeInsets.symmetric,m.wrapperPadH,,BLOCKED,non-numeric EdgeInsets.symmetric(horizontal)
lib/components/chips/app_chip_filter.dart,223,chips,EdgeInsets.only,m.padL,,BLOCKED,non-numeric EdgeInsets.only
lib/components/chips/app_chip_filter.dart,223,chips,EdgeInsets.only,m.padR,,BLOCKED,non-numeric EdgeInsets.only
lib/components/chips/app_chip_filter.dart,223,chips,EdgeInsets.only,m.padV,,BLOCKED,non-numeric EdgeInsets.only
lib/components/chips/app_chip_filter.dart,244,chips,EdgeInsets.all,tapBoost,,BLOCKED,non-numeric EdgeInsets.all
lib/components/chips/app_chip_filter.dart,203,chips,SizedBox,m.wrapperGap,,BLOCKED,non-numeric SizedBox dimension
lib/components/chips/app_chip_filter.dart,233,chips,SizedBox,m.contentGap,,BLOCKED,non-numeric SizedBox dimension
lib/components/chips/app_mini_chip.dart,34,chips,EdgeInsets.symmetric,"H=10,V=6",AppSpacing.s6 + AppSpacing.s10,NEEDS_REVIEW,비표준 squish 페어 V6/H10 (Outlined 1px 보정 의심 가능)
lib/components/chips/app_mini_chip.dart,41,chips,EdgeInsets.symmetric,"H=6,V=2",AppSpacingSemantic.insetSquishXsVertical + insetSquishXsHorizontal,READY,inset-squish Xs
lib/components/chips/chip_use_cases.dart,399,chips,EdgeInsets.all,AppSpacing.space24,,BLOCKED,Demo 화면 (_use_cases.dart)
lib/components/chips/chip_use_cases.dart,30,chips,SizedBox,AppSpacing.space8,,BLOCKED,Demo 화면 (_use_cases.dart)
lib/components/chips/chip_use_cases.dart,43,chips,SizedBox,AppSpacing.space20,,BLOCKED,Demo 화면 (_use_cases.dart)
lib/components/chips/chip_use_cases.dart,128,chips,SizedBox,AppSpacing.space8,,BLOCKED,Demo 화면 (_use_cases.dart)
lib/components/chips/chip_use_cases.dart,142,chips,SizedBox,AppSpacing.space20,,BLOCKED,Demo 화면 (_use_cases.dart)
lib/components/chips/chip_use_cases.dart,159,chips,SizedBox,AppSpacing.space8,,BLOCKED,Demo 화면 (_use_cases.dart)
lib/components/chips/chip_use_cases.dart,174,chips,SizedBox,AppSpacing.space20,,BLOCKED,Demo 화면 (_use_cases.dart)
lib/components/chips/chip_use_cases.dart,191,chips,SizedBox,AppSpacing.space8,,BLOCKED,Demo 화면 (_use_cases.dart)
lib/components/chips/chip_use_cases.dart,205,chips,SizedBox,AppSpacing.space20,,BLOCKED,Demo 화면 (_use_cases.dart)
lib/components/chips/chip_use_cases.dart,273,chips,SizedBox,AppSpacing.space8,,BLOCKED,Demo 화면 (_use_cases.dart)
lib/components/chips/chip_use_cases.dart,287,chips,SizedBox,AppSpacing.space20,,BLOCKED,Demo 화면 (_use_cases.dart)
lib/components/chips/chip_use_cases.dart,304,chips,SizedBox,AppSpacing.space8,,BLOCKED,Demo 화면 (_use_cases.dart)
lib/components/chips/chip_use_cases.dart,320,chips,SizedBox,AppSpacing.space20,,BLOCKED,Demo 화면 (_use_cases.dart)
lib/components/chips/chip_use_cases.dart,356,chips,SizedBox,AppSpacing.space8,,BLOCKED,Demo 화면 (_use_cases.dart)
lib/components/chips/chip_use_cases.dart,370,chips,SizedBox,AppSpacing.space20,,BLOCKED,Demo 화면 (_use_cases.dart)
lib/components/chips/chip_use_cases.dart,30,chips,AppSpacingRef,AppSpacing.space8,,BLOCKED,Demo 화면 (_use_cases.dart)
lib/components/chips/chip_use_cases.dart,32,chips,AppSpacingRef,AppSpacing.space8,,BLOCKED,Demo 화면 (_use_cases.dart)
lib/components/chips/chip_use_cases.dart,33,chips,AppSpacingRef,AppSpacing.space8,,BLOCKED,Demo 화면 (_use_cases.dart)
lib/components/chips/chip_use_cases.dart,43,chips,AppSpacingRef,AppSpacing.space20,,BLOCKED,Demo 화면 (_use_cases.dart)
lib/components/chips/chip_use_cases.dart,54,chips,AppSpacingRef,AppSpacing.space8,,BLOCKED,Demo 화면 (_use_cases.dart)
lib/components/chips/chip_use_cases.dart,55,chips,AppSpacingRef,AppSpacing.space8,,BLOCKED,Demo 화면 (_use_cases.dart)
lib/components/chips/chip_use_cases.dart,82,chips,AppSpacingRef,AppSpacing.space8,,BLOCKED,Demo 화면 (_use_cases.dart)
lib/components/chips/chip_use_cases.dart,83,chips,AppSpacingRef,AppSpacing.space8,,BLOCKED,Demo 화면 (_use_cases.dart)
lib/components/chips/chip_use_cases.dart,128,chips,AppSpacingRef,AppSpacing.space8,,BLOCKED,Demo 화면 (_use_cases.dart)
lib/components/chips/chip_use_cases.dart,130,chips,AppSpacingRef,AppSpacing.space12,,BLOCKED,Demo 화면 (_use_cases.dart)
lib/components/chips/chip_use_cases.dart,131,chips,AppSpacingRef,AppSpacing.space12,,BLOCKED,Demo 화면 (_use_cases.dart)
lib/components/chips/chip_use_cases.dart,142,chips,AppSpacingRef,AppSpacing.space20,,BLOCKED,Demo 화면 (_use_cases.dart)
lib/components/chips/chip_use_cases.dart,159,chips,AppSpacingRef,AppSpacing.space8,,BLOCKED,Demo 화면 (_use_cases.dart)
lib/components/chips/chip_use_cases.dart,161,chips,AppSpacingRef,AppSpacing.space12,,BLOCKED,Demo 화면 (_use_cases.dart)
lib/components/chips/chip_use_cases.dart,162,chips,AppSpacingRef,AppSpacing.space12,,BLOCKED,Demo 화면 (_use_cases.dart)
lib/components/chips/chip_use_cases.dart,174,chips,AppSpacingRef,AppSpacing.space20,,BLOCKED,Demo 화면 (_use_cases.dart)
lib/components/chips/chip_use_cases.dart,191,chips,AppSpacingRef,AppSpacing.space8,,BLOCKED,Demo 화면 (_use_cases.dart)
lib/components/chips/chip_use_cases.dart,193,chips,AppSpacingRef,AppSpacing.space12,,BLOCKED,Demo 화면 (_use_cases.dart)
lib/components/chips/chip_use_cases.dart,194,chips,AppSpacingRef,AppSpacing.space12,,BLOCKED,Demo 화면 (_use_cases.dart)
lib/components/chips/chip_use_cases.dart,205,chips,AppSpacingRef,AppSpacing.space20,,BLOCKED,Demo 화면 (_use_cases.dart)
lib/components/chips/chip_use_cases.dart,216,chips,AppSpacingRef,AppSpacing.space12,,BLOCKED,Demo 화면 (_use_cases.dart)
lib/components/chips/chip_use_cases.dart,217,chips,AppSpacingRef,AppSpacing.space12,,BLOCKED,Demo 화면 (_use_cases.dart)
lib/components/chips/chip_use_cases.dart,273,chips,AppSpacingRef,AppSpacing.space8,,BLOCKED,Demo 화면 (_use_cases.dart)
lib/components/chips/chip_use_cases.dart,275,chips,AppSpacingRef,AppSpacing.space12,,BLOCKED,Demo 화면 (_use_cases.dart)
lib/components/chips/chip_use_cases.dart,276,chips,AppSpacingRef,AppSpacing.space12,,BLOCKED,Demo 화면 (_use_cases.dart)
lib/components/chips/chip_use_cases.dart,287,chips,AppSpacingRef,AppSpacing.space20,,BLOCKED,Demo 화면 (_use_cases.dart)
lib/components/chips/chip_use_cases.dart,304,chips,AppSpacingRef,AppSpacing.space8,,BLOCKED,Demo 화면 (_use_cases.dart)
lib/components/chips/chip_use_cases.dart,306,chips,AppSpacingRef,AppSpacing.space12,,BLOCKED,Demo 화면 (_use_cases.dart)
lib/components/chips/chip_use_cases.dart,307,chips,AppSpacingRef,AppSpacing.space12,,BLOCKED,Demo 화면 (_use_cases.dart)
lib/components/chips/chip_use_cases.dart,320,chips,AppSpacingRef,AppSpacing.space20,,BLOCKED,Demo 화면 (_use_cases.dart)
lib/components/chips/chip_use_cases.dart,331,chips,AppSpacingRef,AppSpacing.space12,,BLOCKED,Demo 화면 (_use_cases.dart)
lib/components/chips/chip_use_cases.dart,332,chips,AppSpacingRef,AppSpacing.space12,,BLOCKED,Demo 화면 (_use_cases.dart)
lib/components/chips/chip_use_cases.dart,356,chips,AppSpacingRef,AppSpacing.space8,,BLOCKED,Demo 화면 (_use_cases.dart)
lib/components/chips/chip_use_cases.dart,358,chips,AppSpacingRef,AppSpacing.space12,,BLOCKED,Demo 화면 (_use_cases.dart)
lib/components/chips/chip_use_cases.dart,359,chips,AppSpacingRef,AppSpacing.space12,,BLOCKED,Demo 화면 (_use_cases.dart)
lib/components/chips/chip_use_cases.dart,370,chips,AppSpacingRef,AppSpacing.space20,,BLOCKED,Demo 화면 (_use_cases.dart)
lib/components/chips/chip_use_cases.dart,399,chips,AppSpacingRef,AppSpacing.space24,,BLOCKED,Demo 화면 (_use_cases.dart)
lib/components/contents/app_accordion.dart,100,contents,EdgeInsets.symmetric,widget.padding.value,,BLOCKED,non-numeric EdgeInsets.symmetric(vertical)
lib/components/contents/app_accordion.dart,133,contents,EdgeInsets.only,space8,AppSpacing.s8,READY,EdgeInsets.only(right=tokenRef) → palette
lib/components/contents/app_accordion.dart,102,contents,AppSpacingRef,space16,AppSpacing.s16,READY,기존 tokenRef → palette s16
lib/components/contents/app_accordion.dart,108,contents,AppSpacingRef,space12,AppSpacing.s12,READY,기존 tokenRef → palette s12
lib/components/contents/app_accordion.dart,133,contents,AppSpacingRef,space8,AppSpacing.s8,READY,기존 tokenRef → palette s8
lib/components/contents/app_accordion_use_cases.dart,21,contents,EdgeInsets.all,AppSpacing.space16,,BLOCKED,Demo 화면 (_use_cases.dart)
lib/components/contents/app_accordion_use_cases.dart,42,contents,EdgeInsets.all,AppSpacing.space16,,BLOCKED,Demo 화면 (_use_cases.dart)
lib/components/contents/app_accordion_use_cases.dart,61,contents,EdgeInsets.all,AppSpacing.space16,,BLOCKED,Demo 화면 (_use_cases.dart)
lib/components/contents/app_accordion_use_cases.dart,85,contents,EdgeInsets.all,AppSpacing.space16,,BLOCKED,Demo 화면 (_use_cases.dart)
lib/components/contents/app_accordion_use_cases.dart,102,contents,EdgeInsets.all,AppSpacing.space16,,BLOCKED,Demo 화면 (_use_cases.dart)
lib/components/contents/app_accordion_use_cases.dart,119,contents,EdgeInsets.all,AppSpacing.space16,,BLOCKED,Demo 화면 (_use_cases.dart)
lib/components/contents/app_accordion_use_cases.dart,136,contents,EdgeInsets.all,AppSpacing.space16,,BLOCKED,Demo 화면 (_use_cases.dart)
lib/components/contents/app_accordion_use_cases.dart,160,contents,EdgeInsets.all,AppSpacing.space16,,BLOCKED,Demo 화면 (_use_cases.dart)
lib/components/contents/app_accordion_use_cases.dart,171,contents,EdgeInsets.all,AppSpacing.space16,,BLOCKED,Demo 화면 (_use_cases.dart)
lib/components/contents/app_accordion_use_cases.dart,183,contents,EdgeInsets.all,AppSpacing.space16,,BLOCKED,Demo 화면 (_use_cases.dart)
lib/components/contents/app_accordion_use_cases.dart,200,contents,EdgeInsets.all,AppSpacing.space16,,BLOCKED,Demo 화면 (_use_cases.dart)
lib/components/contents/app_accordion_use_cases.dart,21,contents,AppSpacingRef,AppSpacing.space16,,BLOCKED,Demo 화면 (_use_cases.dart)
lib/components/contents/app_accordion_use_cases.dart,42,contents,AppSpacingRef,AppSpacing.space16,,BLOCKED,Demo 화면 (_use_cases.dart)
lib/components/contents/app_accordion_use_cases.dart,61,contents,AppSpacingRef,AppSpacing.space16,,BLOCKED,Demo 화면 (_use_cases.dart)
lib/components/contents/app_accordion_use_cases.dart,85,contents,AppSpacingRef,AppSpacing.space16,,BLOCKED,Demo 화면 (_use_cases.dart)
lib/components/contents/app_accordion_use_cases.dart,102,contents,AppSpacingRef,AppSpacing.space16,,BLOCKED,Demo 화면 (_use_cases.dart)
lib/components/contents/app_accordion_use_cases.dart,119,contents,AppSpacingRef,AppSpacing.space16,,BLOCKED,Demo 화면 (_use_cases.dart)
lib/components/contents/app_accordion_use_cases.dart,136,contents,AppSpacingRef,AppSpacing.space16,,BLOCKED,Demo 화면 (_use_cases.dart)
lib/components/contents/app_accordion_use_cases.dart,160,contents,AppSpacingRef,AppSpacing.space16,,BLOCKED,Demo 화면 (_use_cases.dart)
lib/components/contents/app_accordion_use_cases.dart,171,contents,AppSpacingRef,AppSpacing.space16,,BLOCKED,Demo 화면 (_use_cases.dart)
